acr_repo,ecr_repo,acr_tags,acr_manifests,ecr_tags,ecr_manifests,tags_match,manifests_match
airbyte-ktb,airbyte-ktb,0,0,1,3,NO,NO
airflow,airflow,0,0,88,291,NO,NO
alertmanager,alertmanager,0,0,1,1,NO,NO
alpine,alpine,0,0,1,3,NO,NO
backstage,backstage,0,0,75,240,NO,NO
bitnami/rabbitmq,bitnami/rabbitmq,0,0,1,1,NO,NO
busybox,busybox,0,0,1,1,NO,NO
camunda/zeebe,camunda/zeebe,0,0,1,1,NO,NO
helm/baobab-backend,helm/baobab-backend,0,0,4,4,NO,NO
helm/client-management,helm/client-management,0,0,2,2,NO,NO
helm/couchbase-dependencies,helm/couchbase-dependencies,0,0,5,5,NO,NO
helm/duma,helm/duma,0,0,3,3,NO,NO
helm/fineract-backend,helm/fineract-backend,0,0,23,24,NO,NO
helm/fineract-frontend,helm/fineract-frontend,0,0,0,0,YES,YES
helm/log-app,helm/log-app,0,0,0,0,YES,YES
helm/msgateway-2,helm/msgateway-2,0,0,0,0,YES,YES
helm/oaf-odoo-data-migration,helm/oaf-odoo-data-migration,0,0,0,0,YES,YES
helm/offline-writes,helm/offline-writes,0,0,0,0,YES,YES
helm/otpgateway,helm/otpgateway,0,0,0,0,YES,YES
helm/ou-api-service,helm/ou-api-service,0,0,0,0,YES,YES
helm/pesa,helm/pesa,0,0,0,0,YES,YES
helm/ph-ee-engine,helm/ph-ee-engine,0,0,0,0,YES,YES
helm/shs,helm/shs,0,0,0,0,YES,YES
helm/tax-signature,helm/tax-signature,0,0,0,0,YES,YES
helm/timiza,helm/timiza,0,0,0,0,YES,YES
infra/defaultbackend-amd64,infra/defaultbackend-amd64,0,0,0,0,YES,YES
infra/ghcr.io/dexidp/dex,infra/ghcr.io/dexidp/dex,0,0,0,0,YES,YES
infra/http-base,infra/http-base,0,0,0,0,YES,YES
infra/ingress-nginx/controller,infra/ingress-nginx/controller,0,0,0,0,YES,YES
infra/ingress-nginx/custom-error-pages,infra/ingress-nginx/custom-error-pages,0,0,0,0,YES,YES
infra/ingress-nginx/kube-webhook-certgen,infra/ingress-nginx/kube-webhook-certgen,0,0,0,0,YES,YES
