acr_repo,ecr_repo,acr_tags,acr_manifests,ecr_tags,ecr_manifests,acr_only_tags,tags_match,manifests_match,ecr_only_tags
airbyte-ktb,airbyte-ktb,1,3,1,3,0,YES,YES,0
airflow,airflow,77,291,88,291,0,YES,YES,11
alertmanager,alertmanager,1,1,1,1,0,YES,YES,0
alpine,alpine,1,3,1,3,0,YES,YES,0
backstage,backstage,60,240,75,240,0,YES,YES,15
bitnami/rabbitmq,bitnami/rabbitmq,1,1,1,1,0,YES,YES,0
busybox,busybox,1,1,1,1,0,YES,YES,0
camunda/zeebe,camunda/zeebe,1,1,1,1,0,YES,YES,0
helm/baobab-backend,helm/baobab-backend,4,4,4,4,0,YES,YES,0
helm/client-management,helm/client-management,2,2,2,2,0,YES,YES,0
helm/couchbase-dependencies,helm/couchbase-dependencies,5,5,5,5,0,YES,YES,0
helm/duma,helm/duma,3,3,3,3,0,YES,YES,0
helm/fineract-backend,helm/fineract-backend,23,25,23,24,0,YES,NO,0
helm/fineract-frontend,helm/fineract-frontend,7,8,7,8,0,YES,YES,0
helm/log-app,helm/log-app,4,4,4,4,0,YES,YES,0
helm/msgateway-2,helm/msgateway-2,29,38,29,30,0,YES,NO,0
helm/oaf-odoo-data-migration,helm/oaf-odoo-data-migration,3,3,3,3,0,YES,YES,0
helm/offline-writes,helm/offline-writes,6,6,6,6,0,YES,YES,0
helm/otpgateway,helm/otpgateway,4,4,4,4,0,YES,YES,0
helm/ou-api-service,helm/ou-api-service,3,3,3,3,0,YES,YES,0
helm/pesa,helm/pesa,5,5,5,5,0,YES,YES,0
helm/ph-ee-engine,helm/ph-ee-engine,3,3,3,3,0,YES,YES,0
helm/shs,helm/shs,7,7,7,7,0,YES,YES,0
helm/tax-signature,helm/tax-signature,3,3,3,3,0,YES,YES,0
helm/timiza,helm/timiza,4,4,4,4,0,YES,YES,0
infra/defaultbackend-amd64,infra/defaultbackend-amd64,1,1,1,1,0,YES,YES,0
infra/ghcr.io/dexidp/dex,infra/ghcr.io/dexidp/dex,1,1,1,1,0,YES,YES,0
infra/http-base,infra/http-base,1,1,1,1,0,YES,YES,0
infra/ingress-nginx/controller,infra/ingress-nginx/controller,2,6,2,6,0,YES,YES,0
infra/ingress-nginx/custom-error-pages,infra/ingress-nginx/custom-error-pages,1,1,1,1,0,YES,YES,0
infra/ingress-nginx/kube-webhook-certgen,infra/ingress-nginx/kube-webhook-certgen,2,6,2,6,0,YES,YES,0
infra/ito-cluster06,infra/ito-cluster06,2,2,2,2,0,YES,YES,0
infra/ito-kubeclient,infra/ito-kubeclient,1,1,1,1,0,YES,YES,0
infra/k8s-zabbix,infra/k8s-zabbix,1,1,1,1,0,YES,YES,0
infra/kiwigrid/k8s-sidecar,infra/kiwigrid/k8s-sidecar,1,1,1,1,0,YES,YES,0
infra/konga,infra/konga,1,1,1,1,0,YES,YES,0
