acr_repo,ecr_repo,acr_tags,ecr_tags,acr_tags_missing_from_ecr,ecr_only_tags,tags_synced,acr_manifests,ecr_manifests,acr_manifests_missing_from_ecr,ecr_only_manifests,manifests_synced
airbyte-ktb,airbyte-ktb,1,1,0,0,YES,3,3,0,0,YES
airflow,airflow,60,88,0,28,YES,240,291,0,51,YES
alertmanager,alertmanager,1,1,0,0,YES,1,1,0,0,YES
alpine,alpine,1,1,0,0,YES,3,3,0,0,YES
backstage,backstage,60,75,0,15,YES,240,240,0,0,YES
bitnami/rabbitmq,bitnami/rabbitmq,1,1,0,0,YES,1,1,0,0,YES
busybox,busybox,1,1,0,0,YES,1,1,0,0,YES
camunda/zeebe,camunda/zeebe,1,1,0,0,YES,1,1,0,0,YES
helm/baobab-backend,helm/baobab-backend,4,4,0,0,YES,4,4,0,0,YES
helm/client-management,helm/client-management,2,2,0,0,YES,2,2,0,0,YES
helm/couchbase-dependencies,helm/couchbase-dependencies,5,5,0,0,YES,5,5,0,0,YES
helm/duma,helm/duma,3,3,0,0,YES,3,3,0,0,YES
helm/fineract-backend,helm/fineract-backend,23,23,0,0,YES,25,25,0,0,YES
helm/fineract-frontend,helm/fineract-frontend,7,7,0,0,YES,8,8,0,0,YES
helm/log-app,helm/log-app,4,4,0,0,YES,4,4,0,0,YES
helm/msgateway-2,helm/msgateway-2,29,29,0,0,YES,38,38,0,0,YES
helm/oaf-odoo-data-migration,helm/oaf-odoo-data-migration,3,3,0,0,YES,3,3,0,0,YES
helm/offline-writes,helm/offline-writes,6,6,0,0,YES,6,6,0,0,YES
helm/otpgateway,helm/otpgateway,4,4,0,0,YES,4,4,0,0,YES
helm/ou-api-service,helm/ou-api-service,3,3,0,0,YES,3,3,0,0,YES
helm/pesa,helm/pesa,5,5,0,0,YES,5,5,0,0,YES
helm/ph-ee-engine,helm/ph-ee-engine,3,3,0,0,YES,3,3,0,0,YES
helm/shs,helm/shs,7,7,0,0,YES,7,7,0,0,YES
helm/tax-signature,helm/tax-signature,3,3,0,0,YES,3,3,0,0,YES
helm/timiza,helm/timiza,4,4,0,0,YES,4,4,0,0,YES
infra/defaultbackend-amd64,infra/defaultbackend-amd64,1,1,0,0,YES,1,1,0,0,YES
infra/ghcr.io/dexidp/dex,infra/ghcr.io/dexidp/dex,1,1,0,0,YES,1,1,0,0,YES
infra/http-base,infra/http-base,1,1,0,0,YES,1,1,0,0,YES
infra/ingress-nginx/controller,infra/ingress-nginx/controller,2,2,0,0,YES,6,6,0,0,YES
infra/ingress-nginx/custom-error-pages,infra/ingress-nginx/custom-error-pages,1,1,0,0,YES,1,1,0,0,YES
